ID;Company;Company Size;Location;Technology;Seniority;Salary Employment Min;Salary Employment Max;Salary B2B Min;Salary B2B Max
bce2f1b69b0023782a00c63d97533bc5;HSBC Technology Poland;1000.0;Kraków;Mobile;senior;27000.0;30000.0;-1;-1
2323b03a02bff88ad855a4634bc6dec2;HSBC Technology Poland;1000.0;Kraków;Scala;senior;18000.0;25000.0;-1;-1
02db58824fd37c4b48fb1c742dba9c30;Box;1000.0;Warszawa;Java;senior;30000.0;35000.0;-1;-1
82a117de2c240c12c02102560b7d1437;Mindbox;100.0;Warszawa;Java;senior;-1;-1;29400.0;35700.0
649966b95dfed45417a8e9ff85de2d8c;Mindbox;100.0;Warszawa;Java;expert;-1;-1;33600.0;42000.0
6c0593a9fa3f2a3c4768b27615f5fd59;Mindbox;100.0;Warszawa;Java;senior;-1;-1;27300.0;33600.0
92b7fdf0eaf822fdf521ecaf145961db;Mindbox;100.0;Kraków;Java;senior;-1;-1;25200.0;35700.0
3a1015749eb8355e6d0edb365663d05b;Mindbox;100.0;Warszawa;JavaScript;senior;-1;-1;27300.0;33600.0
3df229b97221d3dbbda46c0ecd16cba7;Mindbox;100.0;Remote;Java;senior;-1;-1;27300.0;33600.0
b1ed3fbcce9047fab4d1c746dd38b143;Objectivity - part of Accenture;1000.0;Remote;JavaScript;mid;10000.0;17500.0;15960.0;26880.0
823585d5ea1535cbf4e43b58b4c8d232;Objectivity - part of Accenture;1000.0;Remote;C#;mid;10000.0;14000.0;15960.0;21840.0
6f17e0e96f47045a78b917aa6da4cf10;Objectivity - part of Accenture;1000.0;Remote;C#;senior;12500.0;18000.0;20160.0;27720.0
0073964219f4b15a8a671660b5f7e895;Objectivity - part of Accenture;1000.0;Remote;Java;mid;10000.0;17500.0;15960.0;26880.0
c0234ba62ea2fac8da6440bd1a14f492;Hitachi Energy;10000.0;Kraków;C#;mid;20000.0;28000.0;-1;-1
7d35115c69cef5dc2216b5ed224beac3;Hitachi Energy;10000.0;Kraków;JavaScript;mid;15000.0;22000.0;-1;-1
ec670b52446eb7f3f318a66bef4154ae;Hitachi Energy;10000.0;Kraków;JavaScript;mid;12000.0;23000.0;-1;-1
1735311de313cc4c5525a886d36e9a03;Hitachi Energy;10000.0;Kraków;C#;mid;15000.0;18000.0;-1;-1
f61a0087129238b4fae43746cae95cef;Hitachi Energy;10000.0;Kraków;C#;senior;15000.0;18000.0;-1;-1
df569452cd425bf8244cb69117c452d9;Antal Poland;100.0;Warszawa;C/C++;mid;16000.0;20000.0;-1;-1
b40fa646bd5341ab7c340107fe171cea;Antal Poland;100.0;Katowice;Java;senior;20000.0;24000.0;-1;-1
bd3792816b7d3ace18446356667dba06;Antal Poland;100.0;Kraków;Java;mid;22000.0;25000.0;22000.0;25000.0
c51792055fe0421b3570ce0b7efa9363;Antal Poland;100.0;Kraków;C/C++;mid;22000.0;25000.0;22000.0;25000.0
7522501a182a9186b2bb2a3501547ca9;Antal Poland;100.0;Kraków;C/C++;mid;17000.0;25000.0;17000.0;25000.0
d70e6e66960cf13ec390464357b07d59;Antal Poland;100.0;Remote;Java;senior;-1;-1;25200.0;33600.0
cc9e7a9bb26a3f3321d0d4b47ecfd64e;EPAM Systems;10000.0;Warszawa;Java;senior;14000.0;24000.0;-1;-1
ebad2c219f46ce31ffec87c3ea13b3be;EPAM Systems;10000.0;Wrocław;Java;senior;14000.0;24000.0;-1;-1
d1f1ff54eab448ef5986638400d70fd1;EPAM Systems;10000.0;Gdańsk;Java;senior;14000.0;24000.0;-1;-1
725ded2d30d7c14a44f9c5ec5aa8e6d0;EPAM Systems;10000.0;Kraków;Java;senior;14000.0;24000.0;-1;-1
108b31920b20418409311b034906469c;EPAM Systems;10000.0;Remote;Python;senior;21500.0;26000.0;24100.0;28600.0
cb1b97f09ca419b4cfbe0816cc95608f;EPAM Systems;10000.0;Remote;Java;senior;14000.0;24000.0;-1;-1
f5f377b4e32585f74203747590cdddba;Mobica;1000.0;Warszawa;C/C++;mid;-1;-1;10800.0;20328.0
f66367cbbcea8ef932b1511931fb80e2;Mobica;1000.0;Remote;Mobile;senior;19500.0;25000.0;24360.0;35448.0
976a1088045f562628a17401cf663689;Mobica;1000.0;Warszawa;Mobile;senior;19500.0;25000.0;24360.0;35448.0
41011c2be3dce40242cc7dbffed77187;Mobica;1000.0;Łódź;Mobile;senior;19500.0;25000.0;24360.0;35448.0
5161a961e6f6a8ed39e22c5cdf2c88c7;Mobica;1000.0;Warszawa;C/C++;senior;-1;-1;20328.0;31750.0
ac0b8770b383c83bb4110fc1bf0dc7e3;Reply Polska;10000.0;Katowice;Java;junior;5000.0;9000.0;-1;-1
c3fd8ac0cc26c3366a71022e14a32c08;Spyrosoft;1000.0;Wrocław;C/C++;senior;16650.0;21600.0;22680.0;29400.0
1b63f55717b7ec009c7549a5d0d08a65;Spyrosoft;1000.0;Warszawa;C/C++;senior;16650.0;21600.0;22680.0;29400.0
80781056bc66212ccf6a274fcaf96780;Spyrosoft;1000.0;Kraków;C/C++;senior;16650.0;21600.0;22680.0;29400.0
a02f42accc34be45081ac149c916eaea;Spyrosoft;1000.0;Remote;Scala;senior;17250.0;21600.0;23520.0;29400.0
0181840f58f34cbdb81d6ba7e653977e;Spyrosoft;1000.0;Remote;C#;senior;13500.0;21600.0;18480.0;29400.0
539f92dd0afce4a0da91e160fb72a72f;Spyrosoft;1000.0;Remote;Java;expert;13550.0;21600.0;18480.0;29400.0
92018877b315f685264457b6187f2a48;Spyrosoft;1000.0;Remote;C#;expert;19700.0;24650.0;26880.0;33600.0
fbff14cb2374d08a12056d16f09e7340;Spyrosoft;1000.0;Remote;JavaScript;senior;13500.0;18500.0;18480.0;25200.0
f778c4fc49905de857087a7e8bed303a;Centralny Ośrodek Informatyki;1000.0;Remote;Mobile;senior;15000.0;23000.0;-1;-1
e1944515e5e35d016ea1ecf4008b2d14;Centralny Ośrodek Informatyki;1000.0;Remote;Python;mid;14000.0;28000.0;-1;-1
c2536eef6d35bc512dace353d485fc55;Motorola Solutions Systems Polska Sp. z o.o.;1000.0;Kraków;C/C++;junior;6500.0;8500.0;-1;-1
20b8d897768e35188c7417df408260c3;Motorola Solutions Systems Polska Sp. z o.o.;1000.0;Kraków;JavaScript;mid;9000.0;18000.0;-1;-1
